blueMean,blueStd,redMean,redStd,greenMean,greenStd,imgArea,imgPer,greenRatio,nonGreenRatio,contrast,dissimilarity,homogeneity,energy,correlation,diseaseType
118.009,94.33913109892418,173.41463125,60.29507317912902,170.7552625,51.157558738236276,35.5,23.899494767189026,0.42964375,0.57035625,181.04177944862155,4.093984962406016,0.5554279069704731,0.45026498897299067,0.9727972526252738,bacterial_leaf_blight
189.39638125,57.559922586419866,220.132275,27.99529609281486,205.70951875,26.488245306048462,25.0,18.485281229019165,0.01069375,0.98930625,139.11704260651626,1.8332080200501253,0.8854255150633733,0.8672564459463727,0.9661770831314658,bacterial_leaf_blight
117.34568125,92.12635377959664,168.6072375,62.99578428449473,169.2590375,51.802333558186284,18.0,15.656854152679443,0.4631125,0.5368875,231.8371804511278,3.21937343358396,0.6136917545982999,0.4362080410452315,0.9637228480732103,bacterial_leaf_blight
161.1786375,83.38078406409713,199.09918125,56.736703348270495,191.201325,47.73364320104191,120.0,54.14213538169861,0.2390375,0.7609625,172.28530075187973,3.0642731829573933,0.7438364572801838,0.6847686537561629,0.9697062177788432,bacterial_leaf_blight
180.3146375,68.7309658432325,215.3862125,42.12520685296209,202.91098125,37.86363617525591,30.0,21.656854152679443,0.07726875,0.92273125,149.90280701754386,1.7421929824561404,0.8451972227823085,0.78796083062831,0.9711044048469912,bacterial_leaf_blight
145.26090625,93.69480179913245,198.5005625,51.40131855977621,191.70259375,44.1734300034813,199.5,89.21320307254791,0.25254375,0.74745625,169.30877192982456,2.8468045112781954,0.6940223568776116,0.6063064087756941,0.97801221548183,bacterial_leaf_blight
137.4677,93.24426896174371,188.96786875,55.545911855264144,182.93050625,50.05303127053057,149.5,73.55634891986847,0.23326875,0.76673125,329.70372180451125,7.629448621553884,0.5694821736083605,0.5353972839371607,0.9559753112906674,bacterial_leaf_blight
163.66639375,83.39740808694214,197.82149375,61.7256422953112,191.27134375,51.784786533492024,74.0,43.31370830535889,0.24894375,0.75105625,177.41855889724312,2.96828320802005,0.7529223432526222,0.694772260909234,0.9615263125438925,bacterial_leaf_blight
140.1301875,88.48117159155865,190.1507875,55.637264608622196,185.27508125,47.84850610579079,73.5,46.041630148887634,0.35275625,0.64724375,259.12033834586464,5.042794486215538,0.609334673516186,0.540475441515978,0.9668524001747093,bacterial_leaf_blight
160.90069375,81.51645605041175,203.020825,51.807469092973214,193.88396875,46.1906253259146,64.5,33.55634880065918,0.1642,0.8358,230.8068170426065,3.048809523809524,0.7416382961616198,0.657609598550407,0.9669183143782588,bacterial_leaf_blight
203.136675,84.66640365247821,217.7271,65.661517177796,218.9933,61.07566254335683,177.0,90.14213538169861,0.188825,0.811175,347.26322055137837,4.884085213032582,0.7578713421777626,0.7267577781343093,0.942822110853245,bacterial_leaf_blight
226.4305875,66.64861781691232,232.62560625,58.24166859362772,234.59431875,48.16641832203635,133.0,58.97056245803833,0.10569375,0.89430625,380.3146741854637,3.723070175438597,0.8802311559223666,0.8687745510730661,0.8604724926898636,bacterial_leaf_blight
189.70233125,57.24815182226649,217.04085625,34.471888902652786,204.88645,28.597198182645446,14.0,13.656854152679443,0.09966875,0.90033125,151.6039223057644,2.006516290726817,0.88171071900452,0.8649695641962702,0.9573301568887925,bacterial_leaf_blight
182.02396875,88.27611111874505,202.41081875,73.0716143362431,211.56456875,55.03655972057596,25.0,18.485281229019165,0.299325,0.700675,573.8199122807017,4.983308270676692,0.7485713326523763,0.6814409075129664,0.9106068573615532,bacterial_leaf_blight
165.2504875,80.16784583617265,204.3880875,52.595568260000235,194.5399625,45.93340808168488,502.5,150.18376541137695,0.16999375,0.83000625,274.3874561403509,2.616340852130326,0.7928051920151962,0.7113655417741682,0.9519490630729754,bacterial_leaf_blight
155.42950625,87.32984236863828,196.74585625,53.15875990562925,189.63668125,43.96140615057597,14.0,13.656854152679443,0.2927625,0.7072375,155.153671679198,2.450451127819549,0.7353835227364703,0.6582674855846967,0.9753249757969827,bacterial_leaf_blight
131.5622,98.31358174819997,175.35128125,68.9232035147337,171.38524375,58.90743835461772,68309.5,1180.9777027368546,0.37015625,0.62984375,125.87600250626566,2.844724310776942,0.6619865908719398,0.5660734684022447,0.9728727844073246,bacterial_leaf_blight
